File Name,Emotion,Chroma Standard Deviation,Croma Mean,MEL Standard Deviation,MEL Mean,Spectral Centroid Feature,MFCC Standard Deviation,MFCC Mean,MFCC 1st Derivative,MFCC 2nd Derivative,Root Mean Square Mean,Spectral Rolloff Mean,Spectral Rolloff Range,Zero Crossing Rate,
78,08b01Aa.wav,fearful,0.151210385,0.151210385,0.151210385,0.151210385,0.151210385,0.151210385,0.151210385,0.151210385,0.151210385,0.151210385,0.151210385,0.151210385,0.151210385
79,08b01Fd.wav,happy,0.13881586,0.13881586,0.13881586,0.13881586,0.13881586,0.13881586,0.13881586,0.13881586,0.13881586,0.13881586,0.13881586,0.13881586,0.13881586
80,08b01Fe.wav,happy,0.152193384,0.152193384,0.152193384,0.152193384,0.152193384,0.152193384,0.152193384,0.152193384,0.152193384,0.152193384,0.152193384,0.152193384,0.152193384
81,08b01Lb.wav,boredom,0.173305706,0.173305706,0.173305706,0.173305706,0.173305706,0.173305706,0.173305706,0.173305706,0.173305706,0.173305706,0.173305706,0.173305706,0.173305706
82,08b01Na.wav,neutral,0.354397393,0.354397393,0.354397393,0.354397393,0.354397393,0.354397393,0.354397393,0.354397393,0.354397393,0.354397393,0.354397393,0.354397393,0.354397393
83,08b01Wa.wav,angry,0.080574984,0.080574984,0.080574984,0.080574984,0.080574984,0.080574984,0.080574984,0.080574984,0.080574984,0.080574984,0.080574984,0.080574984,0.080574984
84,08b02Ff.wav,happy,0.106635264,0.106635264,0.106635264,0.106635264,0.106635264,0.106635264,0.106635264,0.106635264,0.106635264,0.106635264,0.106635264,0.106635264,0.106635264
85,08b02La.wav,boredom,0.058404945,0.058404945,0.058404945,0.058404945,0.058404945,0.058404945,0.058404945,0.058404945,0.058404945,0.058404945,0.058404945,0.058404945,0.058404945
86,08b02Nb.wav,neutral,0.07757769,0.07757769,0.07757769,0.07757769,0.07757769,0.07757769,0.07757769,0.07757769,0.07757769,0.07757769,0.07757769,0.07757769,0.07757769
87,08b02Tc.wav,sad,0.130122997,0.130122997,0.130122997,0.130122997,0.130122997,0.130122997,0.130122997,0.130122997,0.130122997,0.130122997,0.130122997,0.130122997,0.130122997
88,08b02Wd.wav,angry,0.046687767,0.046687767,0.046687767,0.046687767,0.046687767,0.046687767,0.046687767,0.046687767,0.046687767,0.046687767,0.046687767,0.046687767,0.046687767
89,08b03Fe.wav,happy,0.032890193,0.032890193,0.032890193,0.032890193,0.032890193,0.032890193,0.032890193,0.032890193,0.032890193,0.032890193,0.032890193,0.032890193,0.032890193
90,08b03Lc.wav,boredom,0.277110518,0.277110518,0.277110518,0.277110518,0.277110518,0.277110518,0.277110518,0.277110518,0.277110518,0.277110518,0.277110518,0.277110518,0.277110518
91,08b03Nb.wav,neutral,0.162841128,0.162841128,0.162841128,0.162841128,0.162841128,0.162841128,0.162841128,0.162841128,0.162841128,0.162841128,0.162841128,0.162841128,0.162841128
92,08b03Tc.wav,sad,0.127071125,0.127071125,0.127071125,0.127071125,0.127071125,0.127071125,0.127071125,0.127071125,0.127071125,0.127071125,0.127071125,0.127071125,0.127071125
93,08b03Wd.wav,angry,0.014169766,0.014169766,0.014169766,0.014169766,0.014169766,0.014169766,0.014169766,0.014169766,0.014169766,0.014169766,0.014169766,0.014169766,0.014169766
94,08b09Ab.wav,fearful,0.099829424,0.099829424,0.099829424,0.099829424,0.099829424,0.099829424,0.099829424,0.099829424,0.099829424,0.099829424,0.099829424,0.099829424,0.099829424
95,08b09Fd.wav,happy,0.054086797,0.054086797,0.054086797,0.054086797,0.054086797,0.054086797,0.054086797,0.054086797,0.054086797,0.054086797,0.054086797,0.054086797,0.054086797
96,08b09Lc.wav,boredom,0.214526463,0.214526463,0.214526463,0.214526463,0.214526463,0.214526463,0.214526463,0.214526463,0.214526463,0.214526463,0.214526463,0.214526463,0.214526463
97,08b09Nb.wav,neutral,0.122019692,0.122019692,0.122019692,0.122019692,0.122019692,0.122019692,0.122019692,0.122019692,0.122019692,0.122019692,0.122019692,0.122019692,0.122019692
98,08b09Tb.wav,sad,0.115519289,0.115519289,0.115519289,0.115519289,0.115519289,0.115519289,0.115519289,0.115519289,0.115519289,0.115519289,0.115519289,0.115519289,0.115519289
99,08b09Wa.wav,angry,0.06638791,0.06638791,0.06638791,0.06638791,0.06638791,0.06638791,0.06638791,0.06638791,0.06638791,0.06638791,0.06638791,0.06638791,0.06638791
100,08b09Wc.wav,angry,0.040753746,0.040753746,0.040753746,0.040753746,0.040753746,0.040753746,0.040753746,0.040753746,0.040753746,0.040753746,0.040753746,0.040753746,0.040753746
101,08b10Aa.wav,fearful,0.140463754,0.140463754,0.140463754,0.140463754,0.140463754,0.140463754,0.140463754,0.140463754,0.140463754,0.140463754,0.140463754,0.140463754,0.140463754
102,08b10Fd.wav,happy,0.150853306,0.150853306,0.150853306,0.150853306,0.150853306,0.150853306,0.150853306,0.150853306,0.150853306,0.150853306,0.150853306,0.150853306,0.150853306
103,08b10La.wav,boredom,0.160273647,0.160273647,0.160273647,0.160273647,0.160273647,0.160273647,0.160273647,0.160273647,0.160273647,0.160273647,0.160273647,0.160273647,0.160273647
104,08b10Nc.wav,neutral,0.074103713,0.074103713,0.074103713,0.074103713,0.074103713,0.074103713,0.074103713,0.074103713,0.074103713,0.074103713,0.074103713,0.074103713,0.074103713
105,08b10Tc.wav,sad,0.131776264,0.131776264,0.131776264,0.131776264,0.131776264,0.131776264,0.131776264,0.131776264,0.131776264,0.131776264,0.131776264,0.131776264,0.131776264
106,08b10Wa.wav,angry,0.062047427,0.062047427,0.062047427,0.062047427,0.062047427,0.062047427,0.062047427,0.062047427,0.062047427,0.062047427,0.062047427,0.062047427,0.062047427
107,09a01Ea.wav,disgust,0.059822496,0.059822496,0.059822496,0.059822496,0.059822496,0.059822496,0.059822496,0.059822496,0.059822496,0.059822496,0.059822496,0.059822496,0.059822496
108,09a01Fa.wav,happy,0.037635858,0.037635858,0.037635858,0.037635858,0.037635858,0.037635858,0.037635858,0.037635858,0.037635858,0.037635858,0.037635858,0.037635858,0.037635858
109,09a01Nb.wav,neutral,0.048575765,0.048575765,0.048575765,0.048575765,0.048575765,0.048575765,0.048575765,0.048575765,0.048575765,0.048575765,0.048575765,0.048575765,0.048575765
110,09a01Wb.wav,angry,0.016163483,0.016163483,0.016163483,0.016163483,0.016163483,0.016163483,0.016163483,0.016163483,0.016163483,0.016163483,0.016163483,0.016163483,0.016163483
111,09a02Ea.wav,disgust,0.045246769,0.045246769,0.045246769,0.045246769,0.045246769,0.045246769,0.045246769,0.045246769,0.045246769,0.045246769,0.045246769,0.045246769,0.045246769
112,09a02Eb.wav,disgust,0.084374085,0.084374085,0.084374085,0.084374085,0.084374085,0.084374085,0.084374085,0.084374085,0.084374085,0.084374085,0.084374085,0.084374085,0.084374085
113,09a02La.wav,boredom,0.12739388,0.12739388,0.12739388,0.12739388,0.12739388,0.12739388,0.12739388,0.12739388,0.12739388,0.12739388,0.12739388,0.12739388,0.12739388
114,09a02Wb.wav,angry,0.025516214,0.025516214,0.025516214,0.025516214,0.025516214,0.025516214,0.025516214,0.025516214,0.025516214,0.025516214,0.025516214,0.025516214,0.025516214
115,09a04Fd.wav,happy,0.020584333,0.020584333,0.020584333,0.020584333,0.020584333,0.020584333,0.020584333,0.020584333,0.020584333,0.020584333,0.020584333,0.020584333,0.020584333
116,09a04La.wav,boredom,0.088570816,0.088570816,0.088570816,0.088570816,0.088570816,0.088570816,0.088570816,0.088570816,0.088570816,0.088570816,0.088570816,0.088570816,0.088570816
117,09a04Nb.wav,neutral,0.055538638,0.055538638,0.055538638,0.055538638,0.055538638,0.055538638,0.055538638,0.055538638,0.055538638,0.055538638,0.055538638,0.055538638,0.055538638
118,09a04Wa.wav,angry,0.026401923,0.026401923,0.026401923,0.026401923,0.026401923,0.026401923,0.026401923,0.026401923,0.026401923,0.026401923,0.026401923,0.026401923,0.026401923
119,09a05Ed.wav,disgust,0.083240187,0.083240187,0.083240187,0.083240187,0.083240187,0.083240187,0.083240187,0.083240187,0.083240187,0.083240187,0.083240187,0.083240187,0.083240187
120,09a05Lc.wav,boredom,0.055863997,0.055863997,0.055863997,0.055863997,0.055863997,0.055863997,0.055863997,0.055863997,0.055863997,0.055863997,0.055863997,0.055863997,0.055863997
121,09a05Nb.wav,neutral,0.040671333,0.040671333,0.040671333,0.040671333,0.040671333,0.040671333,0.040671333,0.040671333,0.040671333,0.040671333,0.040671333,0.040671333,0.040671333
122,09a05Tb.wav,sad,0.079918007,0.079918007,0.079918007,0.079918007,0.079918007,0.079918007,0.079918007,0.079918007,0.079918007,0.079918007,0.079918007,0.079918007,0.079918007
123,09a05Wb.wav,angry,0.040932146,0.040932146,0.040932146,0.040932146,0.040932146,0.040932146,0.040932146,0.040932146,0.040932146,0.040932146,0.040932146,0.040932146,0.040932146
124,09a05Wc.wav,angry,0.026348413,0.026348413,0.026348413,0.026348413,0.026348413,0.026348413,0.026348413,0.026348413,0.026348413,0.026348413,0.026348413,0.026348413,0.026348413
125,09a07Eb.wav,disgust,0.20680519,0.20680519,0.20680519,0.20680519,0.20680519,0.20680519,0.20680519,0.20680519,0.20680519,0.20680519,0.20680519,0.20680519,0.20680519
126,09a07Na.wav,neutral,0.2643665,0.2643665,0.2643665,0.2643665,0.2643665,0.2643665,0.2643665,0.2643665,0.2643665,0.2643665,0.2643665,0.2643665,0.2643665
127,09a07Ta.wav,sad,0.415833264,0.415833264,0.415833264,0.415833264,0.415833264,0.415833264,0.415833264,0.415833264,0.415833264,0.415833264,0.415833264,0.415833264,0.415833264
128,09a07Wb.wav,angry,0.041260752,0.041260752,0.041260752,0.041260752,0.041260752,0.041260752,0.041260752,0.041260752,0.041260752,0.041260752,0.041260752,0.041260752,0.041260752
129,09a07Wd.wav,angry,0.052457079,0.052457079,0.052457079,0.052457079,0.052457079,0.052457079,0.052457079,0.052457079,0.052457079,0.052457079,0.052457079,0.052457079,0.052457079
130,09b01Ea.wav,disgust,0.064950125,0.064950125,0.064950125,0.064950125,0.064950125,0.064950125,0.064950125,0.064950125,0.064950125,0.064950125,0.064950125,0.064950125,0.064950125
131,09b01Na.wav,neutral,0.099524192,0.099524192,0.099524192,0.099524192,0.099524192,0.099524192,0.099524192,0.099524192,0.099524192,0.099524192,0.099524192,0.099524192,0.099524192
132,09b01Wb.wav,angry,0.051874884,0.051874884,0.051874884,0.051874884,0.051874884,0.051874884,0.051874884,0.051874884,0.051874884,0.051874884,0.051874884,0.051874884,0.051874884
133,09b02Na.wav,neutral,0.150395838,0.150395838,0.150395838,0.150395838,0.150395838,0.150395838,0.150395838,0.150395838,0.150395838,0.150395838,0.150395838,0.150395838,0.150395838
134,09b02Tb.wav,sad,0.303214089,0.303214089,0.303214089,0.303214089,0.303214089,0.303214089,0.303214089,0.303214089,0.303214089,0.303214089,0.303214089,0.303214089,0.303214089
135,09b02Wc.wav,angry,0.089310123,0.089310123,0.089310123,0.089310123,0.089310123,0.089310123,0.089310123,0.089310123,0.089310123,0.089310123,0.089310123,0.089310123,0.089310123
136,09b02Wd.wav,angry,0.024920472,0.024920472,0.024920472,0.024920472,0.024920472,0.024920472,0.024920472,0.024920472,0.024920472,0.024920472,0.024920472,0.024920472,0.024920472
137,09b03Ed.wav,disgust,0.040764123,0.040764123,0.040764123,0.040764123,0.040764123,0.040764123,0.040764123,0.040764123,0.040764123,0.040764123,0.040764123,0.040764123,0.040764123
138,09b03Fa.wav,happy,0.051964634,0.051964634,0.051964634,0.051964634,0.051964634,0.051964634,0.051964634,0.051964634,0.051964634,0.051964634,0.051964634,0.051964634,0.051964634
139,09b03Fd.wav,happy,0.078037619,0.078037619,0.078037619,0.078037619,0.078037619,0.078037619,0.078037619,0.078037619,0.078037619,0.078037619,0.078037619,0.078037619,0.078037619
140,09b03Lb.wav,boredom,0.092972274,0.092972274,0.092972274,0.092972274,0.092972274,0.092972274,0.092972274,0.092972274,0.092972274,0.092972274,0.092972274,0.092972274,0.092972274
141,09b03Nb.wav,neutral,0.129471754,0.129471754,0.129471754,0.129471754,0.129471754,0.129471754,0.129471754,0.129471754,0.129471754,0.129471754,0.129471754,0.129471754,0.129471754
142,09b03Ta.wav,sad,0.30717684,0.30717684,0.30717684,0.30717684,0.30717684,0.30717684,0.30717684,0.30717684,0.30717684,0.30717684,0.30717684,0.30717684,0.30717684
143,09b03Wb.wav,angry,0.047435811,0.047435811,0.047435811,0.047435811,0.047435811,0.047435811,0.047435811,0.047435811,0.047435811,0.047435811,0.047435811,0.047435811,0.047435811
144,09b09Ea.wav,disgust,0.116275875,0.116275875,0.116275875,0.116275875,0.116275875,0.116275875,0.116275875,0.116275875,0.116275875,0.116275875,0.116275875,0.116275875,0.116275875
145,09b09Nd.wav,neutral,0.098829156,0.098829156,0.098829156,0.098829156,0.098829156,0.098829156,0.098829156,0.098829156,0.098829156,0.098829156,0.098829156,0.098829156,0.098829156
